File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\activities\fragments\SavedWalksFragment.java,55,30,19,1,14,0,11,40,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\activities\fragments\UserInfoFragment.java,59,32,21,1,16,0,11,40,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\controllers\NewWalkCardViewAdapter.java,107,69,48,3,18,0,20,119,15,99
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\controllers\NewWalkCardViewHolder.java,81,55,46,3,17,0,9,35,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\controllers\NewWalksDatabaseHelper.java,200,114,68,9,35,1,51,296,15,99
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\models\Constants.java,34,22,13,0,9,1,3,11,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\models\NewWalkDbConstants.java,75,41,18,0,9,0,25,139,15,99
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\models\TrackSegment.java,108,75,53,10,27,4,6,75,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\models\Walk.java,215,139,92,12,39,12,37,295,15,99
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\services\GpsTracker.java,148,72,48,6,27,6,49,261,15,99
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\utilities\Utils.java,196,64,48,11,24,3,108,426,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\test\java\com\lee42\wheeledwalksviewer\ExampleUnitTest.java,15,9,6,0,3,0,3,17,0,0
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,1074,802,613,129,199,67,73,736,1,8
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\dygraph-combined-dev.js,12173,7736,5629,1251,1176,135,3261,21254,4,21
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\HomepageScripts.js,79,57,55,0,20,11,2,49,0,1
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalk.html,83,69,0,0,14,2,0,2,0,1
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\index.html,59,50,0,0,9,2,0,2,0,1
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\com\example\David\WheeledWalks\backend\DisplayWalkServlet.java,43,20,12,0,17,0,6,30,5,23
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\com\example\David\WheeledWalks\backend\WalkProcessingServlet.java,291,208,167,26,68,4,15,98,0,0
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\com\example\David\WheeledWalks\backend\WarmupServlet.java,50,31,23,0,15,0,4,12,0,0
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\Models\BtDevice.java,40,27,19,3,10,0,3,8,0,0
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\Models\Constants.java,20,15,14,0,2,0,3,8,0,0
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\Models\HeartRateData.java,38,26,18,3,9,0,3,8,0,0
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\Models\SensorTagData.java,115,82,58,11,30,0,3,8,0,0
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\Models\TrackSegment.java,116,85,63,10,25,4,6,75,0,0
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\Models\Walk.java,68,43,32,9,21,10,4,84,0,0
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\webapp\DisplayWalkScripts.js,1075,802,613,129,200,67,73,736,1,8
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\webapp\dygraph-combined-dev.js,12173,7736,5629,1251,1176,135,3261,21254,4,21
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\webapp\HomepageScripts.js,79,57,55,0,20,11,2,49,0,1
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\webapp\DisplayWalk.html,83,69,0,0,14,2,0,2,0,1
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\webapp\index.html,59,50,0,0,9,2,0,2,0,1
