Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\activities\fragments,5,843,422,301,34,119,6,302,1133,30,198
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\controllers,3,388,238,162,15,70,1,80,450,30,198
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\models,4,432,277,176,22,84,17,71,520,30,198
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\services,1,148,72,48,6,27,6,49,261,15,99
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\utilities,1,196,64,48,11,24,3,108,426,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\test,1,15,9,6,0,3,0,3,17,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\test\java,1,15,9,6,0,3,0,3,17,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\test\java\com,1,15,9,6,0,3,0,3,17,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\test\java\com\lee42,1,15,9,6,0,3,0,3,17,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\test\java\com\lee42\wheeledwalksviewer,1,15,9,6,0,3,0,3,17,0,0
